image_1,image_2,left_stim,right_stim,scrambled,
https://dl.dropbox.com/s/yebc6bcwvrpfysb/gaap3_milk_bottle_ar.png?dl=0,https://dl.dropbox.com/s/lqpsbvqozovk46z/GAAP3_AR.png?dl=0,alcohol_match,alcohol,unscrambled,
https://dl.dropbox.com/s/mj6rgdbk7qyrl9x/scrambled_GAAP10_waterbottles_AR.png?dl=0,https://dl.dropbox.com/s/zq9fuqvmlmeuxhu/scrambled_gaap10_ar.png?dl=0,alcohol_match,alcohol,scrambled,
https://dl.dropbox.com/s/gtm5venlmzd3kxk/scrambled_gaap4_ar.png?dl=0,https://dl.dropbox.com/s/p7dbxcvxoijm8ce/scrambled_GAAP4_coffee_AR.png?dl=0,alcohol,alcohol_match,scrambled,
https://dl.dropbox.com/s/h8t6wha2qliert7/scrambled_bettingagencylogo_2.jpg?dl=0,https://dl.dropbox.com/s/h5by1il8wg5vppl/scrambled_black_blue.jpg?dl=0,gambling,gambling_matched,scrambled,
https://dl.dropbox.com/s/23q4nreq8xuwen3/tabticket.gif?dl=0,https://dl.dropbox.com/s/oyrfen0mle66n2w/notebook%202.jpeg?dl=0,gambling,gambling_matched,unscrambled,
https://dl.dropbox.com/s/wlqzxs00dhbkrpu/gaap4_ar.png?dl=0,https://dl.dropbox.com/s/vb47onmepqaqkfj/gaap4_coffee_ar.png?dl=0,alcohol,alcohol_match,unscrambled,
https://dl.dropbox.com/s/fo15xg9he9g03jf/GAAP21_AR.png?dl=0,https://dl.dropbox.com/s/wnotdan4hco12sn/gaap21_party_popper_ar.png?dl=0,alcohol,alcohol_match,unscrambled,
https://dl.dropbox.com/s/um17efj9yrnv25p/scrambled_pokies%203.jpg?dl=0,https://dl.dropbox.com/s/fa3gu5bmeugnrx2/scrambled_arcade.jpg?dl=0,gambling,gambling_matched,scrambled,
https://dl.dropbox.com/s/w4d2a9dvhai9ms8/scrambled_pokies%202.png?dl=0,https://dl.dropbox.com/s/38mqcdxt86o4tk3/scrambled_drinks.jpg?dl=0,gambling,gambling_matched,scrambled,
https://dl.dropbox.com/s/qfp2d60iaw477ln/roulette_wheel.jpg?dl=0,https://dl.dropbox.com/s/f5an1h6wvtpea9r/ship%20steering%20wheel.jpg?dl=0,gambling,gambling_matched,unscrambled,
https://dl.dropbox.com/s/2yeefyweb4fsj76/scrambled_GAAP51_AR.png?dl=0,https://dl.dropbox.com/s/qj4xdwzlth3zsvq/scrambled_GAAP51_paddle_AR.png?dl=0,alcohol,alcohol_match,scrambled,
https://dl.dropbox.com/s/19sifllr069fjj7/scrambled_gaap30_ar.png?dl=0,https://dl.dropbox.com/s/a6yiqk5leuz8lmu/scrambled_GAAP30_tools_AR.png?dl=0,alcohol,alcohol_match,scrambled,
https://dl.dropbox.com/s/sxghfay3zahjhzo/black_blue.jpg?dl=0,https://dl.dropbox.com/s/v9l4paw82a9etv4/bettingagencylogo_2.jpg?dl=0,gambling_matched,gambling,unscrambled,
https://dl.dropbox.com/s/145321m6ewsrzlz/pokies_3.jpg?dl=0,https://dl.dropbox.com/s/e3hvqpyjp0an7zl/arcade.jpg?dl=0,gambling,gambling_matched,unscrambled,
https://dl.dropbox.com/s/lfw7xknvgkciu9k/greyhounds.jpg?dl=0,https://dl.dropbox.com/s/mlcxm1oe95ktqv1/wolves.jpg?dl=0,gambling,gambling_matched,unscrambled,
https://dl.dropbox.com/s/mynfumr0niqagog/GAAP30_AR.png?dl=0,https://dl.dropbox.com/s/0ab8bz1310n7r5q/gaap30_tools_ar.png?dl=0,alcohol,alcohol_match,unscrambled,
https://dl.dropbox.com/s/tdkvtkqzy7jmgto/scrambled_GAAP16_AR.png?dl=0,https://dl.dropbox.com/s/1h9bwwr0ixlkunp/scrambled_GAAP16_keyring_AR.png?dl=0,alcohol,alcohol_match,scrambled,
https://dl.dropbox.com/s/gqtvftmyc2e5yd5/scrambled_GAAP20_pantry_AR.png?dl=0,https://dl.dropbox.com/s/v6q99x6g9mdtsjm/scrambled_gaap20_ar.png?dl=0,alcohol_match,alcohol,scrambled,
https://dl.dropbox.com/s/dg0yxiomd1yrn3s/weather.png?dl=0,https://dl.dropbox.com/s/snj0w6emu1k1u1u/tvliveodds.png?dl=0,gambling_matched,gambling,unscrambled,
https://dl.dropbox.com/s/knif2lhsw7okbwz/batteries.jpg?dl=0,https://dl.dropbox.com/s/bm1bpx809m5fkec/poker_chips.jpg?dl=0,gambling_matched,gambling,unscrambled,
https://dl.dropbox.com/s/ugbi6psfgjp0sqg/scrambled_ship%20steering%20wheel.jpg?dl=0,https://dl.dropbox.com/s/lrp97zjhl01aclc/scrambled_roulette_wheel.jpg?dl=0,gambling_matched,gambling,scrambled,
https://dl.dropbox.com/s/a4dtrx818k0iu65/GAAP9_cactus_AR.png?dl=0,https://dl.dropbox.com/s/5jxkloa3o6yoobk/gaap9_ar.png?dl=0,alcohol_match,alcohol,unscrambled,
https://dl.dropbox.com/s/mshgyrvx0kxts0u/scrambled_GAAP15_oil_bottles_AR.png?dl=0,https://dl.dropbox.com/s/5me51jrvdp6it3b/scrambled_gaap15_ar.png?dl=0,alcohol_match,alcohol,scrambled,
https://dl.dropbox.com/s/z6iqquk2rr45234/scrambled_bettingagencylogo_1.jpg?dl=0,https://dl.dropbox.com/s/usod86lcibbp4eg/scrambled_ukraine%20flag.jpg?dl=0,gambling,gambling_matched,scrambled,
https://dl.dropbox.com/s/oaulnw2se2vr0iv/gaap51_ar.png?dl=0,https://dl.dropbox.com/s/fo3rnus3ix7h9oe/GAAP51_paddle_AR.png?dl=0,alcohol,alcohol_match,unscrambled,
https://dl.dropbox.com/s/9hnbov6s55n0zzl/scrambled_GAAP9_cactus_AR.png?dl=0,https://dl.dropbox.com/s/zkyzrwc942boabt/scrambled_GAAP9_AR.png?dl=0,alcohol_match,alcohol,scrambled,
https://dl.dropbox.com/s/2n2etfyb04006og/scrambled_GAAP3_AR.png?dl=0,https://dl.dropbox.com/s/9kmyvdliqwh6xfu/scrambled_GAAP3_milk_bottle_AR.png?dl=0,alcohol,alcohol_match,scrambled,
https://dl.dropbox.com/s/rsxowvrj5o95jjs/scrambled_notebooks%20and%20pencils.jpg?dl=0,https://dl.dropbox.com/s/l9cogh6cie0od37/scrambled_poker_chips_cards.jpg?dl=0,gambling_matched,gambling,scrambled,
https://dl.dropbox.com/s/9xer3p8z4dpe5nm/gaap5_dining_table_ar.png?dl=0,https://dl.dropbox.com/s/6smk92qicn0kbq9/GAAP5_AR.png?dl=0,alcohol_match,alcohol,unscrambled,
https://dl.dropbox.com/s/kdib0jl7muq5u1u/scrambled_notebooks.jpg?dl=0,https://dl.dropbox.com/s/hmer3paxabfe7w6/scrambled_cards.jpg?dl=0,gambling_matched,gambling,scrambled,
https://dl.dropbox.com/s/7bnmjibwzkeeffl/scrambled_GAAP29_teamwork_AR.png?dl=0,https://dl.dropbox.com/s/avkd512542krymj/scrambled_gaap29_ar.png?dl=0,alcohol_match,alcohol,scrambled,
https://dl.dropbox.com/s/qwzsxzjiyinlrbh/scrambled_butterfly.png?dl=0,https://dl.dropbox.com/s/5r86gzlgq052ecn/scrambled_scratchie_1.jpg?dl=0,gambling_matched,gambling,scrambled,
https://dl.dropbox.com/s/5a1ewk26ak6r7n3/bettingagencylogo_1.jpg?dl=0,https://dl.dropbox.com/s/jv61ox8qpyka9xb/ukraine%20flag.jpg?dl=0,gambling,gambling_matched,unscrambled,
https://dl.dropbox.com/s/iubny4c9beoukpy/drinks.jpg?dl=0,https://dl.dropbox.com/s/vdhqwisx9xjqqze/pokies_2.png?dl=0,gambling_matched,gambling,unscrambled,
https://dl.dropbox.com/s/68916xieue4x96a/GAAP15_oil_bottles_AR.png?dl=0,https://dl.dropbox.com/s/tnnt60axkre1l0p/GAAP15_AR.png?dl=0,alcohol_match,alcohol,unscrambled,
https://dl.dropbox.com/s/d43m5nk1dfv1crq/chalkboard.jpeg?dl=0,https://dl.dropbox.com/s/aot03jxen8s96hs/scratchie_2.gif?dl=0,gambling_matched,gambling,unscrambled,
https://dl.dropbox.com/s/33lay89qe1wkpkb/GAAP54_hairdressers_AR.png?dl=0,https://dl.dropbox.com/s/eetc3llxowb7uj9/GAAP54_AR.png?dl=0,alcohol_match,alcohol,unscrambled,
https://dl.dropbox.com/s/detameb7c04vgtq/gaap6_ar.png?dl=0,https://dl.dropbox.com/s/zzyjg60g01dgr3b/gaap6_oil_ar.png?dl=0,alcohol,alcohol_match,unscrambled,
https://dl.dropbox.com/s/byyzog6xad879fi/scrambled_tabticket.gif?dl=0,https://dl.dropbox.com/s/e5frntdozqrroya/scrambled_notebook%202.jpeg?dl=0,gambling,gambling_matched,scrambled,
https://dl.dropbox.com/s/xejxxbgaeyjk6be/scrambled_wolves.jpg?dl=0,https://dl.dropbox.com/s/d3yfur1tpud2lqp/scrambled_greyhounds.jpg?dl=0,gambling_matched,gambling,scrambled,
,,,,,
