trial,"actor ","emotion ",channel,sentence,auditory_noise_level,video_1,audio_1,video_1_height,video_1_width,duration,video_1_x,video_1_y,video_1_x*,video_1_y*,
81,M9,Neutral,Song,Kid,Baseline,../User/Stimuli/AV_M9_N_So_K_N1.mp4,,480,720,4000,0,0,0,0,
82,W8,Fearful,Speech,Kid,Baseline,../User/Stimuli/AV_W8_F_Sp_K_N1.mp4,,480,720,4000,0,0,0,0,
83,M9,Happy,Song,Dog,High,../User/Stimuli/V_M9_H_So_D_N1.mp4,../User/Stimuli/A_M9_H_So_D_-5.wav,480,720,4000,0,0,0,0,
84,W6,Neutral,Speech,Kid,High,../User/Stimuli/V_W6_N_Sp_K_N1.mp4,../User/Stimuli/A_W6_N_Sp_K_-5.wav,480,720,4000,0,0,0,0,
85,M7,Happy,Song,Dog,Baseline,../User/Stimuli/AV_M7_H_So_D_N1.mp4,,480,720,4000,0,0,0,0,
86,M9,Fearful,Song,Kid,No,../User/Stimuli/V_M9_F_So_K_N1.mp4,../User/Stimuli/A_M9_F_So_K.wav,480,720,4000,0,0,0,0,
87,W8,Fearful,Speech,Kid,High,../User/Stimuli/V_W8_F_Sp_K_N1.mp4,../User/Stimuli/A_W8_F_Sp_K_-5.wav,480,720,4000,0,0,0,0,
88,W6,Happy,Speech,Dog,Low,../User/Stimuli/V_W6_H_Sp_D_N1.mp4,../User/Stimuli/A_W6_H_Sp_D_0.wav,480,720,4000,0,0,0,0,
89,M9,Happy,Song,Dog,No,../User/Stimuli/V_M9_H_So_D_N1.mp4,../User/Stimuli/A_M9_H_So_D.wav,480,720,4000,0,0,,,
90,W8,Fearful,Song,Dog,High,../User/Stimuli/V_W8_F_So_D_N1.mp4,../User/Stimuli/A_W8_F_So_D_-5.wav,480,720,4000,0,0,,,
91,M9,Fearful,Song,Kid,Low,../User/Stimuli/V_M9_F_So_K_N1.mp4,../User/Stimuli/A_M9_F_So_K_0.wav,480,720,4000,0,0,,,
92,M7,Fearful,Speech,Dog,Baseline,../User/Stimuli/AV_M7_F_Sp_D_N1.mp4,,480,720,4000,0,0,,,
93,M7,Angry,Song,Dog,High,../User/Stimuli/V_M7_A_So_D_N1.mp4,../User/Stimuli/A_M7_A_So_D_-5.wav,480,720,4000,0,0,,,
94,W8,Neutral,Speech,Kid,No,../User/Stimuli/V_W8_N_Sp_K_N1.mp4,../User/Stimuli/A_W8_N_Sp_K.wav,480,720,4000,0,0,,,
