task,image_1,image_2,scrambled,
SocialReward,../User/Stimuli/gaze_images/unscrambled/bird1.jpg,../User/Stimuli/gaze_images/unscrambled/cold1.jpg,unscrambled,
SocialReward,../User/Stimuli/gaze_images/unscrambled/bird3.jpg,../User/Stimuli/gaze_images/unscrambled/car1.jpg,unscrambled,
SocialReward,../User/Stimuli/gaze_images/unscrambled/cat5.jpg,../User/Stimuli/gaze_images/unscrambled/bricks1.jpg,unscrambled,
SocialReward,../User/Stimuli/gaze_images/unscrambled/chipmunk2.jpg,../User/Stimuli/gaze_images/unscrambled/phone1.jpg,unscrambled,
SocialReward,../User/Stimuli/gaze_images/unscrambled/dog6.jpg,../User/Stimuli/gaze_images/unscrambled/archery2.jpg,unscrambled,
SocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_elephant1.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_cups1.jpg,scrambled,
SocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_horse1.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_fence1.jpg,scrambled,
SocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_lamb1.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_firehydrant1.jpg,scrambled,
SocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_penguins2.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_roofing2.jpg,scrambled,
SocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_zebra1.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_sidewalk1.jpg,scrambled,
NonsocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_beach1.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_ambulance3.jpg,scrambled,
NonsocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_bridge1.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_road1.jpg,scrambled,
NonsocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_fireworks2.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_officesupplies3.jpg,scrambled,
NonsocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_flowers8.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_solarpanel1.jpg,scrambled,
NonsocialReward,../User/Stimuli/gaze_images/scrambled/scrambled_galaxy7.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_billiards1.jpg,scrambled,
NonsocialReward,../User/Stimuli/gaze_images/unscrambled/lake9.jpg,../User/Stimuli/gaze_images/unscrambled/cups2.jpg,unscrambled,
NonsocialReward,../User/Stimuli/gaze_images/unscrambled/nature1.jpg,../User/Stimuli/gaze_images/unscrambled/fence2.jpg,unscrambled,
NonsocialReward,../User/Stimuli/gaze_images/unscrambled/nature2.jpg,../User/Stimuli/gaze_images/unscrambled/firehydrant2.jpg,unscrambled,
NonsocialReward,../User/Stimuli/gaze_images/unscrambled/rainbow2.jpg,../User/Stimuli/gaze_images/unscrambled/roofing3.jpg,unscrambled,
NonsocialReward,../User/Stimuli/gaze_images/unscrambled/sunset5.jpg,../User/Stimuli/gaze_images/unscrambled/sidewalk3.jpg,unscrambled,
AnimalReward,../User/Stimuli/gaze_images/scrambled/scrambled_baby1.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_motocross1.jpg,scrambled,
AnimalReward,../User/Stimuli/gaze_images/scrambled/scrambled_couple4.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_carrace3.jpg,scrambled,
AnimalReward,../User/Stimuli/gaze_images/unscrambled/dancing7.jpg,../User/Stimuli/gaze_images/unscrambled/timber2.jpg,unscrambled,
AnimalReward,../User/Stimuli/gaze_images/unscrambled/excitedface2.jpg,../User/Stimuli/gaze_images/unscrambled/officesupplies5.jpg,unscrambled,
AnimalReward,../User/Stimuli/gaze_images/unscrambled/father1.jpg,../User/Stimuli/gaze_images/unscrambled/biking1.jpg,unscrambled,
AnimalReward,../User/Stimuli/gaze_images/unscrambled/gazing6.jpg,../User/Stimuli/gaze_images/unscrambled/cups4.jpg,unscrambled,
AnimalReward,../User/Stimuli/gaze_images/unscrambled/mother1.jpg,../User/Stimuli/gaze_images/unscrambled/fence6.jpg,unscrambled,
AnimalReward,../User/Stimuli/gaze_images/scrambled/scrambled_picnic1.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_firehydrant3.jpg,scrambled,
AnimalReward,../User/Stimuli/gaze_images/scrambled/scrambled_siblings1.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_roofing5.jpg,scrambled,
AnimalReward,../User/Stimuli/gaze_images/scrambled/scrambled_wedding10.jpg,../User/Stimuli/gaze_images/scrambled/scrambled_sidewalk5.jpg,scrambled,
,,,,
