trial,actor,emotion,channel,sentence,auditory_noise_level,video_1,audio_1,video_1_height,video_1_width,duration,video_1_x,video_1_y,video_1_x*,video_1_y*,
1,M21,Angry,Speech,Dog,High,../User/Stimuli/AV_M9_H_So_K.mp4,,700,720,4000,0,0,0,0,
1,M21,Angry,Speech,Dog,High,../User/Stimuli/V_M21_A_Sp_D_N1.mp4,../User/Stimuli/A_M21_A_Sp_D_-5.wav,480,720,4000,0,0,0,0,
2,M21,Happy,Speech,Kid,No,../User/Stimuli/V_W14_A_So_K_N1.mp4,../User/Stimuli/A_W14_A_So_K.wav,480,720,4000,0,0,0,0,
1,M21,Angry,Speech,Dog,High,../User/Stimuli/AV_M9_H_So_K.mp4,,480,720,4000,0,0,0,0,
4,M21,Fearful,Song,Dog,No,../User/Stimuli/V_W14_F_Sp_K_N1.mp4,../User/Stimuli/A_W14_F_Sp_K_-5.wav,480,720,4000,0,0,0,0,
5,F14,Angry,Song,Kid,No,../User/Stimuli/V_M21_H_Sp_K_N1.mp4,../User/Stimuli/A_M21_H_Sp_K.wav,480,720,4000,0,0,0,0,
1,M21,Angry,Speech,Dog,High,../User/Stimuli/AV_M9_H_So_K.mp4,,480,720,4000,0,0,0,0,
7,F14,Happy,Song,Dog,High,../User/Stimuli/V_M21_N_So_K_N1.mp4,../User/Stimuli/A_M21_N_So_K_-5.wav,480,720,4000,0,0,0,0,
8,F14,Neutral,Speech,Dog,No,../User/Stimuli/V_W14_N_Sp_D_N1.mp4,../User/Stimuli/A_W14_N_Sp_D.wav,480,720,4000,0,0,0,0,
,,,,,,,,,,,,,,,
