item_name,text,type,answers,values,score:audit,optional,btn_width,
Instructions1,"<span style='color:#006699'><span style='font-size:20px'><b> INSTRUCTIONS </b> <br> For question 1-8, please answer based on how much you drank <b> in the last 12 months </b> <br> For q9 and 10 please answer generally <br><br>Consider a drink to be one shot of spirit (25ml), half a pint of beer/cider (284ml) or a small glass of wine (125ml) </span></span>",instruct,,,,,,
audit1,1. How often did you have a drink containing alcohol?,likert,Never|Monthly or less|Two to four times a month|Two to three times a week|Four or more times a week,0|1|2|3|4,1,No,100px,
audit2,2. How many drinks containing alcohol did you have on a typical day when you are drinking?,likert,1 or 2|3 or 4|5 or 6|7 to 9|10 or more,0|1|2|3|4,1,No,100px,
audit3,3. How often did you have six or more drinks on one occasion?,likert,Never|Less than monthly|Monthly|Weekly|Daily or almost daily,0|1|2|3|4,1,No,100px,
audit4,4. How often did you find that you were not able to stop drinking once you had started?,likert,Never|Less than monthly|Monthly|Weekly|Daily or almost daily,0|1|2|3|4,1,No,100px,
audit5,5. How often did you fail to do what was normally expected from you because of drinking?,likert,Never|Less than monthly|Monthly|Weekly|Daily or almost daily,0|1|2|3|4,1,No,100px,
audit6,6. How often did you need a first drink in the morning to get yourself going after a heavy drinking session?,likert,Never|Less than monthly|Monthly|Weekly|Daily or almost daily,0|1|2|3|4,1,No,100px,
audit7,7. How often did you had a feeling of guilt or remorse after drinking?,likert,Never|Less than monthly|Monthly|Weekly|Daily or almost daily,0|1|2|3|4,1,No,100px,
audit8,8. How often were you unable to remember what happened the night before because you had been drinking?,likert,Never|Less than monthly|Monthly|Weekly|Daily or almost daily,0|1|2|3|4,1,No,100px,
audit9,9. Have you or someone else been injured as a result of your drinking?,likert,"No|Yes, but not in the last year|Yes, during the last year",0|2|4,1,No,166px,
audit10,"10. Has a relative, or friend, or a doctor or other health worker been concerned about your drinking or suggested you cut down?",likert,"No|Yes, but not in the last year|Yes, during the last year",0|2|4,1,No,166px,
,,,,,,,,
